rank,residual_name,freq,cumulative_pct,type,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis),reason
11,study name,13200391,20.9283,,The Cancer Genome Atlas (TCGA)(110122) ; eMERGE Network Phase III: HRC Imputed Array Data(105129) ; OncoArray: Prostate Cancer(99622) ; Low LDL Cholesterol and Increased Risk of Type 2 Diabetes(80286) ; Resource for Genetic Epidemiology Research on Aging (GERA)(78479) ; AACR Project GENIE(69212) ; DRIVE Breast Cancer OncoArray Genotypes(60231) ; Framingham Cohort(58525) ; HMP Core Microbiome Sampling Protocol A (HMP-A)(56215) ; Population Architecture using Genomics and Epidemiology - Women's Health Initiative Clinical Trial and Observational Study(56001) ; eMERGE Network Imputed GWAS for 41 Phenotypes(55029) ; OncoArray: Follow-up of Ovarian Cancer Genetic Association and Interaction Studies (FOCI)(51711) ; Yale SPORE in Skin Cancer Project 2(50989) ; Women's Health Initiative Clinical Trial and Observational Study(50385) ; eMERGE Network Phase III Clinical Sequencing: eMERGEseq Panel(49987),study name,The Cancer Genome Atlas (TCGA)(110122) ; eMERGE Network Phase III: HRC Imputed Array Data(105129) ; OncoArray: Prostate Cancer(99622) ; Low LDL Cholesterol and Increased Risk of Type 2 Diabetes(80286) ; Resource for Genetic Epidemiology Research on Aging (GERA)(78479) ; AACR Project GENIE(69212) ; DRIVE Breast Cancer OncoArray Genotypes(60231) ; Framingham Cohort(58525) ; HMP Core Microbiome Sampling Protocol A (HMP-A)(56215) ; Population Architecture using Genomics and Epidemiology - Women's Health Initiative Clinical Trial and Observational Study(56001) ; eMERGE Network Imputed GWAS for 41 Phenotypes(55029) ; OncoArray: Follow-up of Ovarian Cancer Genetic Association and Interaction Studies (FOCI)(51711) ; Yale SPORE in Skin Cancer Project 2(50989) ; Women's Health Initiative Clinical Trial and Observational Study(50385) ; eMERGE Network Phase III Clinical Sequencing: eMERGEseq Panel(49987),,规范键(其他并入它),Admin,否,
12,gap_accession,13199605,22.4784,,phs000178(110122) ; phs001584(105135) ; phs001391(99622) ; phs001588(80286) ; phs000674(78490) ; phs000888(76877) ; phs001337(69212) ; phs001265(60231) ; phs000007(58525) ; phs000228(56215) ; phs000227(56004) ; phs001882(51711) ; phs002289(50989) ; phs000200(50394) ; phs001442(50066),gap accession,phs000178(110122) ; phs001584(105135) ; phs001391(99622) ; phs001588(80286) ; phs000674(78490) ; phs000888(76877) ; phs001337(69212) ; phs001265(60231) ; phs000007(58525) ; phs000228(56215) ; phs000227(56004) ; phs001882(51711) ; phs002289(50989) ; phs000200(50394) ; phs001442(50066),,规范键(其他并入它),Admin,否,
13,gap_sample_id,13199575,24.0286,,190606(39) ; 188924(14) ; 198354(11) ; 192492(10) ; 192542(9) ; 194917(7) ; 188662(3) ; 188660(3) ; 274575(3) ; 119227(3) ; 200727(3) ; 200048(3) ; 196342(3) ; 194338(3) ; 193239(3),gap sample id,190606(39) ; 188924(14) ; 198354(11) ; 192492(10) ; 192542(9) ; 194917(7) ; 188662(3) ; 188660(3) ; 274575(3) ; 119227(3) ; 200727(3) ; 200048(3) ; 196342(3) ; 194338(3) ; 193239(3),,规范键(其他并入它),Admin,否,
14,gap_subject_id,13199575,25.5787,,75847(557) ; 75911(550) ; 580816(480) ; 241831(345) ; 241683(310) ; 241712(303) ; 241721(290) ; 241691(288) ; 241832(287) ; 241817(283) ; 268876(283) ; 241783(282) ; 241672(281) ; 200064(281) ; 241755(279),gap subject id,75847(557) ; 75911(550) ; 580816(480) ; 241831(345) ; 241683(310) ; 241712(303) ; 241721(290) ; 241691(288) ; 241832(287) ; 241817(283) ; 268876(283) ; 241783(282) ; 241672(281) ; 200064(281) ; 241755(279),,规范键(其他并入它),Admin,否,
15,submitter handle,13199145,27.1288,,Framingham_SHARe(715094) ; eMERGE(322447) ; WHI_SHARe(180745) ; TCGA(148921) ; NHLBI_ARIC(128815) ; OncoArray_ProstateCancer(99622) ; NIDDK METSIM(81967) ; NIGMS_LowLDL_EMR(80286) ; RPGEH(78494) ; Geneva(73428) ; NCI_TP_AACR_GENIE(69212) ; NIDDK TEDDY(65195) ; OncoArray_DRIVE(60231) ; EMMES_HMP(56215) ; MESA_SHARe(53878),submitter handle,Framingham_SHARe(715094) ; eMERGE(322447) ; WHI_SHARe(180745) ; TCGA(148921) ; NHLBI_ARIC(128815) ; OncoArray_ProstateCancer(99622) ; NIDDK METSIM(81967) ; NIGMS_LowLDL_EMR(80286) ; RPGEH(78494) ; Geneva(73428) ; NCI_TP_AACR_GENIE(69212) ; NIDDK TEDDY(65195) ; OncoArray_DRIVE(60231) ; EMMES_HMP(56215) ; MESA_SHARe(53878),,规范键(其他并入它),Admin,否,
16,biospecimen repository,13199145,28.6788,,Framingham_SHARe(715094) ; eMERGE(322447) ; WHI_SHARe(180745) ; TCGA(148921) ; NHLBI_ARIC(128815) ; OncoArray_ProstateCancer(99622) ; NIDDK METSIM(81967) ; NIGMS_LowLDL_EMR(80286) ; RPGEH(78494) ; Geneva(73428) ; NCI_TP_AACR_GENIE(69212) ; NIDDK TEDDY(65195) ; OncoArray_DRIVE(60231) ; EMMES_HMP(56215) ; MESA_SHARe(53878),biospecimen repository,Framingham_SHARe(715094) ; eMERGE(322447) ; WHI_SHARe(180745) ; TCGA(148921) ; NHLBI_ARIC(128815) ; OncoArray_ProstateCancer(99622) ; NIDDK METSIM(81967) ; NIGMS_LowLDL_EMR(80286) ; RPGEH(78494) ; Geneva(73428) ; NCI_TP_AACR_GENIE(69212) ; NIDDK TEDDY(65195) ; OncoArray_DRIVE(60231) ; EMMES_HMP(56215) ; MESA_SHARe(53878),,规范键(其他并入它),Admin,否,
17,submitted sample id,13199123,30.2289,,9(160) ; 183(151) ; 569(150) ; 624(146) ; 229(146) ; 670(144) ; 702(143) ; 653(141) ; 726(139) ; 606(139) ; 348(139) ; 928(138) ; 671(138) ; 684(138) ; 687(138),submitted sample id,9(160) ; 183(151) ; 569(150) ; 624(146) ; 229(146) ; 670(144) ; 702(143) ; 653(141) ; 726(139) ; 606(139) ; 348(139) ; 928(138) ; 671(138) ; 684(138) ; 687(138),,规范键(其他并入它),Admin,否,
18,submitted subject id,13199117,31.779,,2(1247) ; 3(876) ; 1(774) ; 5(637) ; 4(624) ; 7(597) ; 12(573) ; 28(561) ; 9(558) ; 14(536) ; 39(515) ; 6(513) ; 22(510) ; 36(509) ; 29(505),submitted subject id,2(1247) ; 3(876) ; 1(774) ; 5(637) ; 4(624) ; 7(597) ; 12(573) ; 28(561) ; 9(558) ; 14(536) ; 39(515) ; 6(513) ; 22(510) ; 36(509) ; 29(505),,规范键(其他并入它),Admin,否,
19,biospecimen repository sample id,13199115,33.3291,,9(160) ; 183(151) ; 569(150) ; 624(146) ; 229(146) ; 670(144) ; 702(143) ; 653(141) ; 726(139) ; 606(139) ; 348(139) ; 928(138) ; 671(138) ; 684(138) ; 687(138),biospecimen repository sample id,9(160) ; 183(151) ; 569(150) ; 624(146) ; 229(146) ; 670(144) ; 702(143) ; 653(141) ; 726(139) ; 606(139) ; 348(139) ; 928(138) ; 671(138) ; 684(138) ; 687(138),,规范键(其他并入它),Admin,否,
20,sex,13064536,34.8633,,female(3587214) ; male(3559715) ; pooled male and female(34669) ; hermaphrodite(23261) ; Male(11159) ; Female(11086) ; 47(7921) ; mixed(7721) ; unknown_sex(7603) ; ?(5336) ; mixed_sex(4882) ; hermaphrodite and monoecious(4712) ; mating_type_a(4477) ; 48(3884) ; mixed sex(2379),sex,female(3587214) ; male(3559715) ; pooled male and female(34669) ; hermaphrodite(23261) ; Male(11159) ; Female(11086) ; 47(7921) ; mixed(7721) ; unknown_sex(7603) ; ?(5336) ; mixed_sex(4882) ; hermaphrodite and monoecious(4712) ; mating_type_a(4477) ; 48(3884) ; mixed sex(2379),,规范键(其他并入它),Host,是,
21,lat_lon,13048975,36.3958,,,latitude and longitude,,,合并→ latitude and longitude,Geography,是,
22,study design,12495997,37.8633,,Case-Control(2038585) ; Prospective Longitudinal Cohort(1419559) ; Case Set(462736) ; Cross-Sectional(224611) ; Family/Twin/Trios(204939) ; Tumor vs. Matched-Normal(175688) ; Control Set(153045) ; Clinical Trial(42821) ; Metagenomics(34598) ; Methods(21523) ; Collection(20047) ; Interventional(12723) ; Mendelian(7478) ; Clinical Genetic Testing(2547) ; Xenograft(560),study design,Case-Control(2038585) ; Prospective Longitudinal Cohort(1419559) ; Case Set(462736) ; Cross-Sectional(224611) ; Family/Twin/Trios(204939) ; Tumor vs. Matched-Normal(175688) ; Control Set(153045) ; Clinical Trial(42821) ; Metagenomics(34598) ; Methods(21523) ; Collection(20047) ; Interventional(12723) ; Mendelian(7478) ; Clinical Genetic Testing(2547) ; Xenograft(560),,规范键(其他并入它),Admin,否,
23,geographic location (country and/or sea),12173524,39.2929,,,geographic location,,,合并→ geographic location,Geography,是,
24,collection date,11777814,40.676,,2017(155724) ; 2016(154447) ; 2018(137197) ; 2015(135538) ; 2014(109665) ; 2019(92684) ; 2013(91439) ; 2012(69730) ; 2020(56084) ; 2011(44976) ; 2010(41268) ; 2009(29281) ; 2008(24953) ; 2017-07(20458) ; 2017-06(18700),collection date,2017(155724) ; 2016(154447) ; 2018(137197) ; 2015(135538) ; 2014(109665) ; 2019(92684) ; 2013(91439) ; 2012(69730) ; 2020(56084) ; 2011(44976) ; 2010(41268) ; 2009(29281) ; 2008(24953) ; 2017-07(20458) ; 2017-06(18700),,规范键(其他并入它),Time,是,
25,gap_consent_code,11220611,41.9938,,1(3635334) ; 2(589047) ; 3(166197) ; 8(71058) ; 4(71054) ; 5(63703) ; 9(38465) ; 10(30216) ; 6(24095) ; 7(22711) ; 0(16598) ; 14(13355) ; 12(10673) ; 13(10171) ; 16(9264),gap consent code,1(3635334) ; 2(589047) ; 3(166197) ; 8(71058) ; 4(71054) ; 5(63703) ; 9(38465) ; 10(30216) ; 6(24095) ; 7(22711) ; 0(16598) ; 14(13355) ; 12(10673) ; 13(10171) ; 16(9264),,规范键(其他并入它),Admin,否,
26,gap_consent_short_name,11087799,43.2959,,GRU(1454635) ; HMB(317336) ; HMB-IRB(224154) ; NPU(187800) ; HMB-IRB-NPU(134339) ; HMB-IRB-MDS(116110) ; HMB-MDS(103650) ; HMP(99026) ; GRU-NPU(98548) ; DS-T1DR-IRB-RD(90790) ; CADM(88086) ; HMB-IRB-NPU-MDS(85270) ; GRU-IRB(85050) ; GRU-PUB(68281) ; HMB-PUB(49558),gap consent short name,GRU(1454635) ; HMB(317336) ; HMB-IRB(224154) ; NPU(187800) ; HMB-IRB-NPU(134339) ; HMB-IRB-MDS(116110) ; HMB-MDS(103650) ; HMP(99026) ; GRU-NPU(98548) ; DS-T1DR-IRB-RD(90790) ; CADM(88086) ; HMB-IRB-NPU-MDS(85270) ; GRU-IRB(85050) ; GRU-PUB(68281) ; HMB-PUB(49558),,规范键(其他并入它),Admin,否,
27,INSDC last update,10370452,44.5138,freetext/high-card,2022-05-19T17:40:14Z(805) ; 2022-05-26T09:42:43Z(546) ; 2013-11-04T20:06:05Z(529) ; 2022-05-26T09:30:46Z(494) ; 2013-11-04T20:05:50Z(283) ; 2013-11-04T20:05:37Z(235) ; 2018-08-14T12:59:24Z(171) ; 2018-08-14T12:59:25Z(171) ; 2016-10-21T09:39:09Z(162) ; 2018-08-14T12:59:23Z(162) ; 2016-10-21T09:36:16Z(161) ; 2023-06-13T16:39:57Z(158) ; 2023-06-13T16:39:56Z(156) ; 2018-03-08T15:24:43Z(155) ; 2016-10-21T09:36:13Z(155),INSDC last update,,,规范键(其他并入它),Admin,否,
28,External Id,10368571,45.7314,freetext/high-card,SAMEA911901(1) ; SAMEA712817(1) ; SAMEA804023(1) ; SAMEA804024(1) ; SAMEA804025(1) ; SAMEA804019(1) ; SAMEA804020(1) ; SAMEA804021(1) ; SAMEA804022(1) ; SAMEA708831(1) ; SAMEA708835(1) ; SAMEA766053(1) ; SAMEA958493(1) ; SAMEA958494(1) ; SAMEA878301(1),External Id,,,独立键(仅自身),Admin,否,
29,INSDC first public,9474563,46.8441,freetext/high-card,2016-08-24T17:07:51Z(3790) ; 2016-08-24T17:07:36Z(3510) ; 2018-01-25T17:04:53Z(3483) ; 2015-09-10T17:01:22Z(3479) ; 2016-11-15T17:05:04Z(3317) ; 2016-08-24T17:07:46Z(3307) ; 2015-09-10T17:01:23Z(3289) ; 2016-08-24T17:07:47Z(3275) ; 2016-09-22T17:01:28Z(3266) ; 2016-08-24T17:07:48Z(3260) ; 2016-08-24T17:07:35Z(3189) ; 2016-08-24T17:07:34Z(3073) ; 2016-08-24T17:07:52Z(3070) ; 2017-02-14T17:02:32Z(3000) ; 2016-08-24T17:07:49Z(2890),INSDC first public,,,规范键(其他并入它),Admin,否,
30,ENA first public,9062191,47.9083,freetext/high-card,2014-11-13(15253) ; 2020-04-22(6711) ; 2019-10-06T04:03:47Z(5086) ; 2019-10-06T04:03:30Z(4989) ; 2019-10-06T04:03:32Z(4977) ; 2019-04-02T17:04:11Z(4802) ; 2019-10-06T04:03:37Z(4671) ; 2013-04-30(4618) ; 2019-10-06T04:03:48Z(4588) ; 2018-05-24(4561) ; 2019-10-06T04:03:42Z(4503) ; 2019-10-06T04:03:46Z(4337) ; 2019-10-06T04:03:29Z(4234) ; 2019-10-25T04:04:49Z(4181) ; 2020-02-20T17:05:46Z(4151),INSDC first public,,,合并→ INSDC first public,Admin,否,
